alpha,gamma,sigma,activation,error_pb,lambda
10.0,0.2,0.5,erf,error_pb,0.4640618897913082
6.689189189189189,0.29898989898989903,0.5,erf,error_pb,0.2862645885235946
5.025380710659898,0.397979797979798,0.5,erf,error_pb,0.20215264441245168
4.024390243902439,0.49696969696969695,0.5,erf,error_pb,0.1551216836580156
3.35593220338983,0.595959595959596,0.5,erf,error_pb,0.12675394512456062
2.877906976744186,0.694949494949495,0.5,erf,error_pb,0.10885793392383404
2.519083969465649,0.793939393939394,0.5,erf,error_pb,0.097360567877463
2.2398190045248865,0.8929292929292931,0.5,erf,error_pb,0.09000793982910281
2.016293279022403,0.991919191919192,0.5,erf,error_pb,0.08542342157941875
1.833333333333333,1.090909090909091,0.5,erf,error_pb,0.0827395392377202
1.6808149405772495,1.18989898989899,0.5,erf,error_pb,0.0813870652136205
1.5517241379310345,1.288888888888889,0.5,erf,error_pb,0.08098639575945886
1.4410480349344978,1.387878787878788,0.5,erf,error_pb,0.08127747364300413
1.3451086956521738,1.486868686868687,0.5,erf,error_pb,0.08207949549902042
1.2611464968152863,1.5858585858585863,0.5,erf,error_pb,0.08326300860943184
1.1870503597122302,1.6848484848484848,0.5,erf,error_pb,0.08473681431651836
1.1211778029445072,1.783838383838384,0.5,erf,error_pb,0.08641266262055133
1.0622317596566522,1.8828282828282832,0.5,erf,error_pb,0.08827887362987445
1.0091743119266054,1.981818181818182,0.5,erf,error_pb,0.09027577133512668
0.9611650485436891,2.0808080808080813,0.5,erf,error_pb,0.09237199119848939
0.9175162187210378,2.1797979797979803,0.5,erf,error_pb,0.09454218960704576
0.877659574468085,2.2787878787878793,0.5,erf,error_pb,0.09676774949511271
0.8411214953271027,2.377777777777778,0.5,erf,error_pb,0.09903791787563725
0.8075040783034256,2.476767676767677,0.5,erf,error_pb,0.10133573391273393
0.776470588235294,2.575757575757576,0.5,erf,error_pb,0.10365533477815539
0.7477341389728096,2.674747474747475,0.5,erf,error_pb,0.10598668806587652
0.7210487982520029,2.773737373737374,0.5,erf,error_pb,0.1083262652069707
0.6962025316455694,2.8727272727272735,0.5,erf,error_pb,0.11066451075131888
0.6730115567641058,2.9717171717171724,0.5,erf,error_pb,0.11300229093451233
0.6513157894736841,3.0707070707070714,0.5,erf,error_pb,0.1153323230374215
0.6309751434034415,3.1696969696969703,0.5,erf,error_pb,0.11765180439334842
0.6118665018541408,3.2686868686868693,0.5,erf,error_pb,0.1199581967706932
0.5938812237552489,3.3676767676767683,0.5,erf,error_pb,0.12224947505980704
0.5769230769230769,3.466666666666667,0.5,erf,error_pb,0.12452462505715983
0.5609065155807365,3.565656565656566,0.5,erf,error_pb,0.12678110992475952
0.5457552370452039,3.664646464646465,0.5,erf,error_pb,0.12901739762661685
0.5314009661835748,3.763636363636364,0.5,erf,error_pb,0.13123434976828946
0.5177824267782426,3.862626262626263,0.5,erf,error_pb,0.13343032394903714
0.504844467108618,3.9616161616161625,0.5,erf,error_pb,0.13560471978974725
0.49253731343283574,4.060606060606061,0.5,erf,error_pb,0.137757067453013
0.48081593006313733,4.15959595959596,0.5,erf,error_pb,0.1398879766934771
0.469639468690702,4.258585858585859,0.5,erf,error_pb,0.1419936834942829
0.4589707927677329,4.357575757575758,0.5,erf,error_pb,0.1440787900044251
0.44877606527651853,4.456565656565657,0.5,erf,error_pb,0.14614029810712073
0.4390243902439024,4.555555555555556,0.5,erf,error_pb,0.14817807428995844
0.42968749999999994,4.654545454545455,0.5,erf,error_pb,0.15019518192592238
0.42073948151296214,4.753535353535354,0.5,erf,error_pb,0.15218634308622023
0.4121565362198168,4.852525252525253,0.5,erf,error_pb,0.15415671820732615
0.40391676866585063,4.951515151515152,0.5,erf,error_pb,0.15610476076848367
0.39599999999999996,5.050505050505051,0.5,erf,error_pb,0.15802646933856074
0.38838760298156133,5.14949494949495,0.5,erf,error_pb,0.15993150497522274
0.38106235565819857,5.248484848484849,0.5,erf,error_pb,0.1618101360824835
0.37400831129580653,5.347474747474748,0.5,erf,error_pb,0.1636675628919291
0.3672106824925816,5.446464646464647,0.5,erf,error_pb,0.16554497465919638
0.36065573770491793,5.545454545454547,0.5,erf,error_pb,0.1673595018489452
0.35433070866141725,5.644444444444446,0.5,erf,error_pb,0.16915184828233945
0.3482237073513893,5.743434343434345,0.5,erf,error_pb,0.1709221420138636
0.3423236514522821,5.842424242424244,0.5,erf,error_pb,0.17267509633771055
0.3366201972118326,5.9414141414141435,0.5,erf,error_pb,0.1744050863492524
0.33110367892976583,6.0404040404040416,0.5,erf,error_pb,0.17611317355707287
0.3257650542941757,6.13939393939394,0.5,erf,error_pb,0.1778023345471805
0.3205958549222797,6.23838383838384,0.5,erf,error_pb,0.17947185173615868
0.3155881415364998,6.337373737373738,0.5,erf,error_pb,0.18112182676146138
0.3107344632768361,6.436363636363637,0.5,erf,error_pb,0.18275253179148296
0.3060278207109737,6.535353535353536,0.5,erf,error_pb,0.1843642388319194
0.3014616321559074,6.634343434343435,0.5,erf,error_pb,0.18595721895546666
0.29702970297029696,6.733333333333335,0.5,erf,error_pb,0.1875317439008057
0.29272619751626255,6.832323232323232,0.5,erf,error_pb,0.18908808339234678
0.28854561352375396,6.931313131313132,0.5,erf,error_pb,0.1906264780083879
0.2844827586206896,7.030303030303031,0.5,erf,error_pb,0.19214726484059957
0.2805327288183621,7.12929292929293,0.5,erf,error_pb,0.19365066582153528
0.27669088876467296,7.228282828282829,0.5,erf,error_pb,0.19513694067436163
0.27295285359801486,7.327272727272728,0.5,erf,error_pb,0.1966063476721389
0.2693144722524483,7.426262626262626,0.5,erf,error_pb,0.19805914029203914
0.2657718120805369,7.525252525252525,0.5,erf,error_pb,0.19949556989523098
0.2623211446740858,7.624242424242426,0.5,erf,error_pb,0.20091591717229082
0.2589589327753073,7.723232323232325,0.5,erf,error_pb,0.202322562921784
0.2556818181818181,7.822222222222224,0.5,erf,error_pb,0.20371132551231952
0.25248661055853094,7.921212121212123,0.5,erf,error_pb,0.20508469814217262
0.24937027707808562,8.02020202020202,0.5,erf,error_pb,0.20644291537319392
0.24632993281910923,8.11919191919192,0.5,erf,error_pb,0.20778620777544407
0.24336283185840707,8.218181818181819,0.5,erf,error_pb,0.20911480267004268
0.2404663589992713,8.317171717171718,0.5,erf,error_pb,0.21042802279067718
0.23763802208353335,8.416161616161617,0.5,erf,error_pb,0.21172804181840202
0.23487544483985764,8.515151515151516,0.5,erf,error_pb,0.21301401057532443
0.2321763602251407,8.614141414141415,0.5,erf,error_pb,0.2142861406522702
0.2295386042198006,8.713131313131314,0.5,erf,error_pb,0.21554464021877723
0.22696011004126546,8.812121212121212,0.5,erf,error_pb,0.21678971478916076
0.22443890274314213,8.911111111111111,0.5,erf,error_pb,0.21802156172156378
0.2219730941704036,9.01010101010101,0.5,erf,error_pb,0.21924038698277545
0.21956087824351297,9.10909090909091,0.5,erf,error_pb,0.22044569568698508
0.21720052654673103,9.208080808080808,0.5,erf,error_pb,0.22164131131530182
0.2148903841979596,9.307070707070707,0.5,erf,error_pb,0.2228208827616442
0.21262886597938144,9.406060606060606,0.5,erf,error_pb,0.22398792965979444
0.2104144527098831,9.505050505050505,0.5,erf,error_pb,0.2251458702941547
0.2082456878418174,9.604040404040404,0.5,erf,error_pb,0.22628987439091872
0.2061211742660837,9.703030303030303,0.5,erf,error_pb,0.22742249248757848
0.20403957131079967,9.802020202020202,0.5,erf,error_pb,0.22854370088141537
0.20199959192001632,9.901010101010101,0.5,erf,error_pb,0.22965363565963587
0.2,10.0,0.5,erf,error_pb,0.23075242582839353